date,Postcode,Type,Id,Price,No.Of Sales
1/12/2022,4006,Units,7,527500,23
1/1/2023,4006,Units,7,506250,22
1/2/2023,4006,Units,7,498500,26
1/3/2023,4006,Units,7,527500,25
1/4/2023,4006,Units,7,519750,24
1/5/2023,4006,Units,7,527500,23
1/6/2023,4006,Units,7,527500,25
1/7/2023,4006,Units,7,550000,27
1/8/2023,4006,Units,7,632600,26
1/9/2023,4006,Units,7,644121,29
1/10/2023,4006,Units,7,645200,31
1/11/2023,4006,Units,7,645200,29
1/12/2023,4006,Units,7,644660,28
1/1/2024,4006,Units,7,645200,29
1/2/2024,4006,Units,7,668000,25
1/3/2019,4059,Units,8,406500,80
1/4/2019,4059,Units,8,414000,80
1/5/2019,4059,Units,8,406500,76
1/6/2019,4059,Units,8,423000,74
1/7/2019,4059,Units,8,406500,74
1/8/2019,4059,Units,8,400000,83
1/9/2019,4059,Units,8,395000,77
1/10/2019,4059,Units,8,400000,79
1/11/2019,4059,Units,8,413000,81
1/12/2019,4059,Units,8,406250,84
1/1/2020,4059,Units,8,406250,86
1/2/2020,4059,Units,8,406250,90
1/3/2020,4059,Units,8,412500,88
1/4/2020,4059,Units,8,412500,90
1/5/2020,4059,Units,8,412500,92
1/6/2020,4059,Units,8,406250,96
1/7/2020,4059,Units,8,400000,99
1/8/2020,4059,Units,8,401500,90
1/9/2020,4059,Units,8,395000,95
1/10/2020,4059,Units,8,401500,98
1/11/2020,4059,Units,8,393000,96
1/12/2020,4059,Units,8,403000,97
1/1/2021,4059,Units,8,407750,100
1/2/2021,4059,Units,8,396000,102
1/3/2021,4059,Units,8,411250,118
1/4/2021,4059,Units,8,420000,127
1/5/2021,4059,Units,8,427000,134
1/6/2021,4059,Units,8,422000,139
1/7/2021,4059,Units,8,425000,142
1/8/2021,4059,Units,8,440000,152
1/9/2021,4059,Units,8,445000,164
1/10/2021,4059,Units,8,445000,167
1/11/2021,4059,Units,8,450000,185
1/12/2021,4059,Units,8,456000,196
1/1/2022,4059,Units,8,465000,199
1/2/2022,4059,Units,8,465000,205
1/3/2022,4059,Units,8,461500,200
1/4/2022,4059,Units,8,458750,200
1/5/2022,4059,Units,8,457500,203
1/6/2022,4059,Units,8,461250,206
1/7/2022,4059,Units,8,465000,209
1/8/2022,4059,Units,8,456500,208
1/9/2022,4059,Units,8,453000,198
1/10/2022,4059,Units,8,450000,189
1/11/2022,4059,Units,8,453000,182
1/12/2022,4059,Units,8,450000,178
1/1/2023,4059,Units,8,445000,173
1/2/2023,4059,Units,8,450000,173
1/3/2023,4059,Units,8,451500,178
1/4/2023,4059,Units,8,460000,180
1/5/2023,4059,Units,8,460000,182
1/6/2023,4059,Units,8,465000,189
1/7/2023,4059,Units,8,461000,190
1/8/2023,4059,Units,8,466000,196
1/9/2023,4059,Units,8,475000,202
1/10/2023,4059,Units,8,485000,211
1/11/2023,4059,Units,8,468500,206
1/12/2023,4059,Units,8,488750,199
1/1/2024,4059,Units,8,486500,196
1/2/2024,4059,Units,8,480000,181
1/3/2019,4059,Units,9,486000,32
1/4/2019,4059,Units,9,486000,30
1/5/2019,4059,Units,9,488000,33
1/6/2019,4059,Units,9,499000,32
1/7/2019,4059,Units,9,510000,32
1/8/2019,4059,Units,9,510000,31
1/9/2019,4059,Units,9,510000,29
1/10/2019,4059,Units,9,510000,30
1/11/2019,4059,Units,9,535000,35
1/12/2019,4059,Units,9,545000,39
1/1/2020,4059,Units,9,557500,38
1/2/2020,4059,Units,9,582500,40
1/3/2020,4059,Units,9,565000,41
1/4/2020,4059,Units,9,565000,38
1/5/2020,4059,Units,9,557500,38
1/6/2020,4059,Units,9,600000,43
1/7/2020,4059,Units,9,607500,44
1/8/2020,4059,Units,9,610000,47
1/9/2020,4059,Units,9,617500,50
1/10/2020,4059,Units,9,610000,51
1/11/2020,4059,Units,9,562500,46
1/12/2020,4059,Units,9,567500,44
1/1/2021,4059,Units,9,567500,44
1/2/2021,4059,Units,9,605000,44
1/3/2021,4059,Units,9,610000,45
1/4/2021,4059,Units,9,616000,48
1/5/2021,4059,Units,9,622000,49
1/6/2021,4059,Units,9,605000,46
1/7/2021,4059,Units,9,610000,47
1/8/2021,4059,Units,9,610000,43
1/9/2021,4059,Units,9,605000,44
1/10/2021,4059,Units,9,600000,47
1/11/2021,4059,Units,9,610000,47
1/12/2021,4059,Units,9,647500,46
1/1/2022,4059,Units,9,662500,50
1/2/2022,4059,Units,9,638000,48
1/3/2022,4059,Units,9,661600,52
